epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,3260.62,0.07301,0.93087,0.99124,0.26129,0.002575,0.002575,0.002575
77,3302.77,0.06734,0.93281,0.99416,0.26637,0.002476,0.002476,0.002476
78,3345.52,0.07998,0.93476,0.99318,0.26028,0.002377,0.002377,0.002377
79,3388.44,0.07238,0.93768,0.99026,0.26246,0.002278,0.002278,0.002278
80,3430.87,0.06621,0.92989,0.99416,0.2685,0.002179,0.002179,0.002179
81,3472.96,0.07323,0.9406,0.99221,0.24495,0.00208,0.00208,0.00208
82,3515.87,0.07671,0.93671,0.99416,0.26721,0.001981,0.001981,0.001981
83,3558.14,0.06211,0.93379,0.99318,0.26593,0.001882,0.001882,0.001882
84,3601.69,0.05306,0.93671,0.99221,0.25077,0.001783,0.001783,0.001783
85,3643.93,0.05783,0.93574,0.99318,0.25144,0.001684,0.001684,0.001684
86,3685.33,0.05762,0.93963,0.99513,0.25466,0.001585,0.001585,0.001585
87,3727.97,0.05359,0.93671,0.99416,0.26404,0.001486,0.001486,0.001486
88,3770.72,0.05139,0.93087,0.99416,0.30226,0.001387,0.001387,0.001387
89,3813.9,0.0547,0.9445,0.99221,0.2681,0.001288,0.001288,0.001288
90,3856.35,0.0502,0.93768,0.99318,0.30849,0.001189,0.001189,0.001189
91,3913.16,0.06715,0.94352,0.99611,0.25322,0.00109,0.00109,0.00109
92,3955.96,0.04751,0.9406,0.99513,0.25499,0.000991,0.000991,0.000991
93,3999.43,0.04379,0.94645,0.99416,0.24293,0.000892,0.000892,0.000892
94,4053.45,0.05033,0.94158,0.99416,0.24089,0.000793,0.000793,0.000793
95,4106.91,0.04865,0.94158,0.99513,0.23816,0.000694,0.000694,0.000694
96,4160.03,0.04636,0.93963,0.99513,0.24492,0.000595,0.000595,0.000595
97,4214.89,0.0428,0.93768,0.99611,0.23699,0.000496,0.000496,0.000496
98,4269.8,0.04764,0.93768,0.99513,0.23481,0.000397,0.000397,0.000397
99,4325.25,0.03897,0.93866,0.99611,0.25558,0.000298,0.000298,0.000298
100,4380.08,0.04107,0.93963,0.99611,0.23466,0.000199,0.000199,0.000199
