epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,3976.35,0.06374,0.94412,0.99518,0.21576,0.00214046,0.00214046,0.00214046
72,4027.17,0.06769,0.94316,0.99229,0.23199,0.00201611,0.00201611,0.00201611
73,4076.41,0.06632,0.93738,0.99518,0.22183,0.00189475,0.00189475,0.00189475
74,4124.93,0.05854,0.94123,0.99711,0.2284,0.00177651,0.00177651,0.00177651
75,4175.78,0.05866,0.94412,0.99807,0.21806,0.00166149,0.00166149,0.00166149
76,4230.4,0.0575,0.94412,0.99615,0.2439,0.00154982,0.00154982,0.00154982
77,4283.27,0.05015,0.94605,0.99615,0.21521,0.00144161,0.00144161,0.00144161
78,4336.93,0.0544,0.94509,0.99807,0.17813,0.00133695,0.00133695,0.00133695
79,4389.88,0.04438,0.94412,0.99615,0.21296,0.00123596,0.00123596,0.00123596
80,4442.49,0.05243,0.94894,0.99615,0.19134,0.00113873,0.00113873,0.00113873
81,4495.37,0.03815,0.94509,0.99807,0.19375,0.00104537,0.00104537,0.00104537
82,4549.34,0.04994,0.94605,0.99615,0.19616,0.000955951,0.000955951,0.000955951
83,4604.56,0.04394,0.94605,0.99615,0.20632,0.000870577,0.000870577,0.000870577
84,4655.36,0.04672,0.94605,0.99711,0.18719,0.000789327,0.000789327,0.000789327
85,4709.02,0.04557,0.94605,0.99807,0.18438,0.000712282,0.000712282,0.000712282
86,4760.13,0.03908,0.94509,0.99711,0.18648,0.000639518,0.000639518,0.000639518
87,4810.99,0.03861,0.94798,0.99807,0.18506,0.000571106,0.000571106,0.000571106
88,4864.1,0.03808,0.95087,0.99807,0.18333,0.000507115,0.000507115,0.000507115
89,4916.43,0.03434,0.95279,0.99711,0.17852,0.000447606,0.000447606,0.000447606
90,4968.42,0.03752,0.94605,0.99807,0.1849,0.00039264,0.00039264,0.00039264
91,5035.67,0.03436,0.94412,0.99807,0.2002,0.00034227,0.00034227,0.00034227
92,5080.55,0.03303,0.94509,0.99807,0.18435,0.000296546,0.000296546,0.000296546
93,5135.12,0.02677,0.94701,0.99807,0.17741,0.000255513,0.000255513,0.000255513
94,5189.52,0.03223,0.94894,0.99807,0.17951,0.000219212,0.000219212,0.000219212
95,5241.64,0.03736,0.94894,0.99807,0.18206,0.000187678,0.000187678,0.000187678
96,5293.03,0.03595,0.9499,0.99711,0.1767,0.000160943,0.000160943,0.000160943
97,5343.36,0.0284,0.94798,0.99711,0.17887,0.000139032,0.000139032,0.000139032
98,5401.21,0.03005,0.94894,0.99807,0.19326,0.000121968,0.000121968,0.000121968
99,5457.19,0.0264,0.94798,0.99807,0.17101,0.000109768,0.000109768,0.000109768
100,5511.42,0.02957,0.94605,0.99904,0.17036,0.000102443,0.000102443,0.000102443
